age,sex,height_percentile,sys_90,dia_90,sys_95,dia_95,sys_99,dia_99
11,F,95,120,77,124,81,131,89
12,M,5,115,74,119,78,126,86
12,M,10,116,75,120,79,127,87
12,M,25,118,75,122,80,129,88
12,M,50,120,76,123,81,131,89
12,M,75,121,77,125,82,133,90
12,M,90,123,78,127,82,134,90
12,M,95,123,79,127,83,135,91
12,F,5,116,75,119,79,127,86
12,F,10,116,75,120,79,127,86
12,F,25,117,75,121,79,128,87
12,F,50,119,76,123,80,130,88
12,F,75,120,77,124,81,131,88
12,F,90,121,78,125,82,132,89
12,F,95,122,78,126,82,133,90
13,M,5,117,75,121,79,128,87
13,M,10,118,75,122,79,130,87
13,M,25,120,76,124,80,131,88
13,M,50,122,77,126,81,133,89
13,M,75,124,78,128,82,135,90
13,M,90,125,79,129,83,136,91
13,M,95,126,79,130,83,137,91
13,F,5,117,76,121,80,128,87
13,F,10,118,76,122,80,129,87
13,F,25,119,76,123,80,130,88
13,F,50,121,77,124,81,132,89
13,F,75,122,78,126,82,133,89
13,F,90,123,79,127,83,134,90
13,F,95,124,79,128,83,135,91
14,M,5,120,75,124,80,131,87
14,M,10,121,76,125,80,132,88
14,M,25,123,77,127,81,134,89
14,M,50,125,78,128,82,136,90
14,M,75,126,79,130,83,138,91
14,M,90,128,79,132,84,139,92
14,M,95,128,80,132,84,140,92
14,F,5,119,77,123,81,130,88
14,F,10,120,77,123,81,131,88
14,F,25,121,77,125,81,132,89
14,F,50,122,78,126,82,133,90
14,F,75,124,79,127,83,135,90
14,F,90,125,80,129,84,136,91
14,F,95,125,80,129,84,136,92
15,M,5,122,76,126,81,134,88
15,M,10,124,77,127,81,135,89
15,M,25,125,78,129,82,136,90
15,M,50,127,79,131,83,138,91
15,M,75,129,80,133,84,140,92
15,M,90,130,80,134,85,142,93
15,M,95,131,81,135,85,142,93
15,F,5,120,78,124,82,131,89
15,F,10,121,78,125,82,132,89
15,F,25,122,78,126,82,133,90
15,F,50,123,79,127,83,134,91
15,F,75,125,80,129,84,136,91
15,F,90,126,81,130,85,137,92
15,F,95,127,81,131,85,138,93
16,M,5,125,78,129,82,136,90
16,M,10,126,78,130,83,137,90
16,M,25,128,79,132,83,139,91
16,M,50,130,80,134,84,141,92
16,M,75,131,81,135,85,143,93
16,M,90,133,82,137,86,144,94
16,M,95,134,82,137,87,145,94
16,F,5,121,78,125,82,132,90
16,F,10,122,78,126,82,133,90
16,F,25,123,79,127,83,134,90
16,F,50,124,80,128,84,135,91
16,F,75,126,81,130,85,137,92
16,F,90,127,81,131,85,138,93
16,F,95,128,82,132,86,139,93
17,M,5,127,80,131,84,139,92
17,M,10,128,80,132,85,140,93
17,M,25,130,81,134,86,141,93
17,M,50,132,82,136,87,143,94
17,M,75,134,83,138,87,145,95
17,M,90,135,84,139,88,146,96
17,M,95,136,84,140,89,147,97
17,F,5,122,78,125,82,133,90
17,F,10,122,79,126,83,133,90
17,F,25,123,79,127,83,134,91
17,F,50,125,80,129,84,136,91
17,F,75,126,81,130,85,137,92
17,F,90,127,81,131,85,138,93
17,F,95,128,82,132,86,139,93
